Title,Cast
Asteroid City,"Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright"
The Lion King,"Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg"
Oldeuboi,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok"
Don't Worry Darling,"Florence Pugh, Harry Styles, Chris Pine, Olivia Wilde"
Lift,"Kevin Hart, Gugu Mbatha-Raw, Sam Worthington, Vincent D'Onofrio"
Beetlejuice,"Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe"
Pitch Perfect,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp"
Night Swim,"Wyatt Russell, Kerry Condon, Amélie Hoeferle, Gavin Warren"
Cars,"Joe Ranft, Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
Arrival,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Shutter Island,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley"
Tombstone,"Kevin Jarre, Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton"
Upgraded,"Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin"
Kimitachi wa dô ikiru ka,"Soma Santoki, Masaki Suda, Kô Shibasaki, Aimyon"
Ready Player One,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe"
Moonfall,"Halle Berry, Patrick Wilson, John Bradley, Charlie Plummer"
Gran Turismo,"David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira"
Fast X,"Vin Diesel, Michelle Rodriguez, Jason Statham, Jordana Brewster"
Sen to Chihiro no kamikakushi,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
300,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
Spider-Man,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco"
Blade Runner,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
The Lobster,"Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman"
Red Eye,"Rachel McAdams, Cillian Murphy, Brian Cox, Laura Johnson"
Romeo + Juliet,"Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau"
Transformers: Rise of the Beasts,"Anthony Ramos, Dominique Fishback, Luna Lauren Velez, Dean Scott Vazquez"
The Flash,"Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon"
Eyes Wide Shut,"Tom Cruise, Nicole Kidman, Todd Field, Sydney Pollack"
Stand by Me,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell"
The Killer,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard"
Trolls Band Together,"Tim Heitz, Anna Kendrick, Justin Timberlake, Kenan Thompson, Walt Dohrn"
Memento,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
La passion de Dodin Bouffant,"Juliette Binoche, Benoît Magimel, Emmanuel Salinger, Patrick d'Assumçao"
The Help,"Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard"
Cidade de Deus,"Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen"
May December,"Natalie Portman, Chris Tenzis, Charles Melton, Julianne Moore"
Snatch,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones"
The Suicide Squad,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman"
Happy Gilmore,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay"
Indiana Jones and the Dial of Destiny,"Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas, Karen Allen"
Bram Stoker's Dracula,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves"
Transformers,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
Once Upon a Time in America,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
La sociedad de la nieve,"Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi"
Scarface,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
Priscilla,"Cailee Spaeny, Jacob Elordi, Ari Cohen, Dagmara Dominczyk"
Hidden Figures,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner"
The Great Gatsby,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire"
Drive-Away Dolls,"Margaret Qualley, Geraldine Viswanathan, Beanie Feldstein, Joey Slotnick"
The Passion of the Christ,"Jim Caviezel, Monica Bellucci, Maia Morgenstern, Christo Jivkov"
Terminator 2: Judgment Day,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
The Little Things,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer"
The Equalizer 2,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean"
Jaws,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
The Nice Guys,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
The Lost Boys,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes"
The Lighthouse,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes"
Thanksgiving,"Patrick Dempsey, Ty Olsson, Gina Gershon, Lynne Griffin"
The Age of Adaline,"Blake Lively, Michiel Huisman, Harrison Ford, Kathy Baker"
Beverly Hills Cop,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher"
Bones and All,"Timothée Chalamet, Taylor Russell, Mark Rylance, Kendle Coffey"
Doctor Strange in the Multiverse of Madness,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong"
She's Out of My League,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel"
The Shining,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
The Pianist,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
After,"Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder, Dylan Arnold"
Pretty Woman,"Richard Gere, Julia Roberts, Jason Alexander, Laura San Giacomo"
Smile,"Sosie Bacon, Jessie T. Usher, Kyle Gallner, Robin Weigert"
Die Hard,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson"
The Martian,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara"
The Truman Show,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich"
Love Actually,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney"
Brokeback Mountain,"Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid"
Saw X,"Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand"
American Pie,"Chris Weitz, Jason Biggs, Chris Klein, Thomas Ian Nicholas, Jennifer Coolidge"
Guardians of the Galaxy,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana"
Taxi Driver,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
Unfaithful,"Richard Gere, Diane Lane, Olivier Martinez, Erik Per Sullivan"
Margin Call,"Zachary Quinto, Stanley Tucci, Kevin Spacey, Paul Bettany"
X: First Class,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon"
Empire of the Sun,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers"
Meg 2: The Trench,"Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis"
The Big Short,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt"
Divergent,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney"
The Marvels,"Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson"
Grown Ups,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock"
All Good Things,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe"
Baywatch,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas"
Thor: Love and Thunder,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson"
Godzilla,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe"
The Little Mermaid,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem"
Black Swan,"Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder"
The King's Man,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson"
The Northman,"Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke"
The Breakfast Club,"Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy"
Highlander,"Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart"
The Sixth Sense,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"
Harry Potter and the Goblet of Fire,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes"
Batman Begins,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
Fair Play,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer"
Mulholland Dr.,"Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates"
A Clockwork Orange,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
X-Men: Days of Future Past,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
Airplane!,"David Zucker, Jerry Zucker, Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar"
American History X,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
The Greatest Showman,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
Knox Goes Away,"Michael Keaton, Ray McKinnon, Cassie Moronez, Paul Perri"
Almost Famous,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand"
One Flew Over the Cuckoo's Nest,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco"
Ah-ga-ssi,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri"
Nymphomaniac: Vol. I,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf"
Jumanji: Welcome to the Jungle,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
The Running Man,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown"
The Last Duel,"Matt Damon, Adam Driver, Jodie Comer, Harriet Walter"
The Fallout,"Jenna Ortega, Maddie Ziegler, Niles Fitch, Will Ropp"
Solo: A Star Wars Story,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover"
Green Book,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
Avengers: Infinity War,"Joe Russo, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
Sound of Freedom,"Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio"
Donnie Darko,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne"
North by Northwest,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis"
Lolita,"Jeremy Irons, Dominique Swain, Melanie Griffith, Frank Langella"
A Beautiful Mind,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
Glass Onion,"Daniel Craig, Edward Norton, Kate Hudson, Dave Bautista"
Mad Max Beyond Thunderdome,"George Ogilvie, Mel Gibson, Tina Turner, Bruce Spence, Adam Cockburn"
Kingsman: The Secret Service,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine"
Kung Fu Panda,"John Stevenson, Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman"
Bound by Honor,"Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo"
Knives Out,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
Ocean's Eight,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling"
Incendies,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
Kaibutsu,"Sakura Andô, Eita Nagayama, Soya Kurokawa, Hinata Hiiragi"
The VVitch: A New-England Folktale,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
Army of the Dead,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick"
Inside Out,"Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling"
"Il buono, il brutto, il cattivo","Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
Wrath of Man,"Jason Statham, Holt McCallany, Josh Hartnett, Rocci Boy Williams"
Pearl Harbor,"Ben Affleck, Kate Beckinsale, Josh Hartnett, William Lee Scott"
The Conjuring,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
Totally Killer,"Kiernan Shipka, Olivia Holt, Charlie Gillespie, Lochlyn Munro"
2001: A Space Odyssey,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
Superbad,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader"
The Hangover,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms"
Harry Potter and the Deathly Hallows - Part 2,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
Asphalt City,"Sean Penn, Tye Sheridan, Gbenga Akinnagbe, Michael Pitt"
Ratatouille,"Jan Pinkava, Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm"
Lady Bird,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges"
Tenet,"John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak"
A League of Their Own,"Tom Hanks, Geena Davis, Lori Petty, Madonna"
Weird Science,"Anthony Michael Hall, Ilan Mitchell-Smith, Kelly LeBrock, Bill Paxton"
Lost in Translation,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris"
X-Men: The Last Stand,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen"
Moana,"John Musker, Don Hall, Chris Williams, Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison"
The Family Plan,"Mark Wahlberg, Michelle Monaghan, Ciarán Hinds, Zoe Colletti"
Ferris Bueller's Day Off,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones"
Jumanji,"Robin Williams, Kirsten Dunst, Bonnie Hunt, Jonathan Hyde"
The Last Voyage of the Demeter,"Corey Hawkins, Aisling Franciosi, Liam Cunningham, David Dastmalchian"
Alien: Covenant,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
BlackBerry,"Jay Baruchel, Glenn Howerton, Matt Johnson, Kelly Van der Burg"
The Lion King,"Donald Glover, Beyoncé, Seth Rogen, Chiwetel Ejiofor"
Miss Peregrine's Home for Peculiar Children,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench"
Emma.,"Anya Taylor-Joy, Johnny Flynn, Mia Goth, Josh O'Connor"
Scream VI,"Tyler Gillett, Courteney Cox, Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown"
(500) Days of Summer,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz"
Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges"
Sting,"Jermaine Fowler, Ryan Corr, Alyla Browne, Noni Hazlehurst"
Les Misérables,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried"
Men in Black,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio"
Suicide Squad,"Will Smith, Jared Leto, Margot Robbie, Viola Davis"
X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
Thelma,"June Squibb, Fred Hechinger, Richard Roundtree, Parker Posey"
RoboCop,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox"
The Hobbit: An Unexpected Journey,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis"
We're the Millers,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms"
Strays,"Will Ferrell, Jamie Foxx, Isla Fisher, Randall Park"
Captain America: The First Avenger,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell"
Underworld,"Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen"
Avatar,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez"
The Girl Next Door,"Emile Hirsch, Nicholas Downs, Elisha Cuthbert, Timothy Olyphant"
Ocean's Eleven,"George Clooney, Brad Pitt, Julia Roberts, Matt Damon"
Apocalypto,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood"
The Virgin Suicides,"Kirsten Dunst, Josh Hartnett, James Woods, Kathleen Turner"
Pirates of the Caribbean: Dead Men Tell No Tales,"Espen Sandberg, Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom"
La vie d'Adèle,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing"
Point Break,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
Les trois mousquetaires : D'Artagnan,"François Civil, Vincent Cassel, Romain Duris, Pio Marmaï"
Three Amigos!,"Steve Martin, Chevy Chase, Martin Short, Alfonso Arau"
Harry Potter and the Prisoner of Azkaban,"Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths"
Three Thousand Years of Longing,"Tilda Swinton, Idris Elba, Erdil Yasaroglu, Sarah Houbolt"
The Revenant,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
Next Goal Wins,"Michael Fassbender, Oscar Kightley, Kaimana, David Fane"
Don't Look Up,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett"
Taken,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
1917,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
Shin Gojira,"Shinji Higuchi, Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara, Ren Ôsugi"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Kyler Spears, Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon"
Sing 2,"Christophe Lourdelet, Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly"
The Avengers,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner"
Fighter,"Hrithik Roshan, Deepika Padukone, Anil Kapoor, Karan Singh Grover"
La vita è bella,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
Annihilation,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong"
The Proposal,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson"
Bohemian Rhapsody,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
Elvis,"Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson"
Catch Me If You Can,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
Irréversible,"Monica Bellucci, Vincent Cassel, Albert Dupontel, Philippe Nahon"
A Haunting in Venice,"Kenneth Branagh, Michelle Yeoh, Jamie Dornan, Tina Fey"
The Descent,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder"
Pretty Baby,"Brooke Shields, Keith Carradine, Susan Sarandon, Frances Faye"
Sisu,"Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo"
Zootopia,"Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
Rocketman,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard"
Fancy Dance,"Lily Gladstone, Isabel Deroy-Olson, Ryan Begay, Shea Whigham"
Psycho,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
Ready or Not,"Tyler Gillett, Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny"
Kill Bill: Vol. 2,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah"
Predator,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo"
Suspiria,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
Uncharted,"Tom Holland, Mark Wahlberg, Antonio Banderas, Sophia Ali"
Clueless,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
Fast Times at Ridgemont High,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus"
Police Academy,"Steve Guttenberg, G.W. Bailey, Kim Cattrall, Bubba Smith"
A Bronx Tale,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra"
Jumanji: The Next Level,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan"
Kong: Skull Island,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
Grown Ups 2,"Adam Sandler, Kevin James, Chris Rock, David Spade"
Spaceballs,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman"
Dronningen,"Trine Dyrholm, Gustav Lindh, Magnus Krepper, Liv Esmår Dannemann"
Imaginary,"DeWanda Wise, Taegen Burns, Pyper Braun, Betty Buckley"
La belle et la bête,"Vincent Cassel, Léa Seydoux, André Dussollier, Eduardo Noriega"
Office Space,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu"
Puss in Boots: The Last Wish,"Januel Mercado, Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh"
Kids,"Leo Fitzpatrick, Justin Pierce, Chloë Sevigny, Sarah Henderson"
Gerald's Game,"Carla Gugino, Bruce Greenwood, Chiara Aurelia, Carel Struycken"
Basic Instinct,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn"
The Rover,"Guy Pearce, Robert Pattinson, Scoot McNairy, David Field"
Malèna,"Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana"
Encanto,"Byron Howard, Charise Castro Smith, Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo"
Casino,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
Evil Dead Rise,"Mirabai Pease, Richard Crouchley, Anna-Maree Thomas, Lily Sullivan"
The Exorcist,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
Raiders of the Lost Ark,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies"
The Hunger Games: Catching Fire,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman"
A Simple Favor,"Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells"
The Unbearable Weight of Massive Talent,"Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan"
The Accountant,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal"
Aftersun,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall, Sally Messham"
Dirty Dancing,"Patrick Swayze, Jennifer Grey, Jerry Orbach, Cynthia Rhodes"
Reservoir Dogs,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
A Man Called Otto,"Tom Hanks, Mariana Treviño, Rachel Keller, John Higgins"
X2,"Patrick Stewart, Hugh Jackman, Halle Berry, Ian McKellen"
A Quiet Place Part II,"Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski"
Her,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara"
Masters of the Universe,"Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty"
Dunkirk,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
Jagten,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
Tusk,"Justin Long, Michael Parks, Haley Joel Osment, Genesis Rodriguez"
Scream,"Neve Campbell, Courteney Cox, David Arquette, Skeet Ulrich"
Tropic Thunder,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn"
E.T. the Extra-Terrestrial,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace"
Full Metal Jacket,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
Edge of Tomorrow,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
The Last of the Mohicans,"Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig"
Liar Liar,"Jim Carrey, Maura Tierney, Amanda Donohoe, Jennifer Tilly"
Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
