id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Sản phẩm chính hãng, giao hàng cực nhanh, mới sử dụng bước đầu cảm thấy hài lòng vì máy chạy mượt mà, ảnh chụp rất đẹp. Tặng shop 5 sao nhé.",0,8093338,5,1710053442,Đinh Xuân Long,1709815848
,Cực kì hài lòng,,0,5616012,5,1711272627,Nguyen Van Hung,1711242754
,Cực kì hài lòng,,0,1885656,5,1710609227,Minh Pham,1710421496
,Cực kì hài lòng,,0,1885656,5,1710609227,Minh Pham,1710421496
,Hài lòng,Hàng chuẩn đúng như quảng cáo,0,16064712,4,1702647773,Anh tuan,1702120770
,Hài lòng,Bộ nhớ lớn,0,61506,4,1709217944,Nguyễn Huy Thi,1708608818
,Cực kì hài lòng,,0,2135628,5,1708072948,Phạm Trịnh Ngọc Thạch ,1707745953
,Hài lòng,Hàng chuẩn đúng như quảng cáo,0,16064712,4,1702647773,Anh tuan,1702120770
,Hài lòng,Bộ nhớ lớn,0,61506,4,1709217944,Nguyễn Huy Thi,1708608818
,Cực kì hài lòng,,0,2135628,5,1708072948,Phạm Trịnh Ngọc Thạch ,1707745953
,Cực kì hài lòng,Giao hàng nhanh và đúng mô tả,0,13738874,5,1706826614,Bích Tuyền,1703739418
,Cực kì hài lòng,"Đúng mô tả phiên bản 6/128, máy sử dụng mượt 
mà, pin trâu. Sản phẩm tốt trong tầm giá. Tiki giao hàng nhanh và cẩn thận.",0,756885,5,1697202547,Đỗ Mạnh Hà,1697083282
,Hài lòng,Hiện tại đang sử dụng máy dùng rất ổn.,0,21492314,4,1711703276,Trần Thị Thương,1706356446
,Cực kì hài lòng,"Sản phẩm rất tốt, giá hợp lý, sẽ tiếp tục ủng hộ Tiki",0,1553611,5,1701132319,Pham Quang Trung,1701072861
,Cực kì hài lòng,Điện thoại xài tốt lắm.,0,2158298,5,1712604043,Trần Đinh Đức Trí,1711888716
,Cực kì hài lòng,ko,3,29670472,5,1704420172,Đỗ như tố,1703902989
,Cực kì hài lòng,Ok tốt rất tốt..... lần sau mua thêm nữa,0,29087634,5,1702943800,Nga lê ,1702796240
,Cực kì hài lòng,Khá ổn với tầm giá,0,7787846,5,1705807498,phan cong duy,1704808224
,Cực kì hài lòng,,0,26023546,5,1711804615,Trần Dương Dạ Thảo,1706775774
,Cực kì hài lòng,,0,13077948,5,1711368066,Nguyen Tam,1701789214
,Cực kì hài lòng,Giao hàng nhanh và đúng mô tả,0,13738874,5,1706826614,Bích Tuyền,1703739418
